room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,last_modified
13652637,28711830,Shared room,Centrum West,6,3.5,2,1,129,12/28/16
14571208,90276132,Shared room,Westerpark,0,0,4,1,129,12/28/16
14035280,20894443,Shared room,Centrum Oost,10,5,2,1,54,12/28/16
15005520,1210973,Shared room,De Pijp / Rivierenbuurt,3,5,2,1,54,12/28/16
16278245,24698579,Shared room,Westerpark,0,0,1,1,229,12/28/16
5020280,4059485,Shared room,Oud Oost,2,0,2,1,199,12/28/16
4913607,9617177,Shared room,Oostelijk Havengebied / Indische Buurt,0,0,2,1,199,12/28/16
736016,3839770,Shared room,Centrum West,4,2.5,4,1,188,12/28/16
5039124,5510025,Shared room,Centrum Oost,0,0,1,1,157,12/28/16
14217287,7490631,Shared room,Centrum Oost,0,0,2,1,162,12/28/16
7224239,15669633,Shared room,De Baarsjes / Oud West,0,0,2,1,135,12/28/16
13290800,18581881,Shared room,Watergraafsmeer,3,5,4,1,140,12/28/16
14011697,10346595,Shared room,Watergraafsmeer,1,0,3,1,138,12/28/16
11109461,10504458,Shared room,Centrum Oost,1,0,1,1,107,12/28/16
11471439,22011975,Shared room,Centrum Oost,1,0,4,1,114,12/28/16
944529,5113662,Shared room,Geuzenveld / Slotermeer,22,4.5,2,1,84,12/28/16
10176931,49180562,Shared room,De Pijp / Rivierenbuurt,3,4.5,2,1,87,12/28/16
10217597,8950308,Shared room,Westerpark,14,4.5,2,1,102,12/28/16
13898312,7814531,Shared room,Centrum Oost,12,4.5,2,1,85,12/28/16
12800486,14703083,Shared room,Osdorp,5,5,2,1,92,12/28/16
13230753,61248844,Shared room,Noord-West / Noord-Midden,3,4.5,4,1,96,12/28/16
12307757,7568413,Shared room,De Baarsjes / Oud West,0,0,3,1,87,12/28/16
12632110,35677252,Shared room,Oud Noord,0,0,2,1,87,12/28/16
6455099,13667948,Entire home/apt,Noord-West / Noord-Midden,2,0,7,5,280,12/28/16
5870618,19765075,Entire home/apt,Bijlmer Oost,1,0,6,1,269,12/28/16
13912800,82468936,Entire home/apt,Buitenveldert / Zuidas,3,4.5,4,3,188,12/28/16
11967067,54233656,Entire home/apt,Noord-West / Noord-Midden,1,0,2,1,188,12/28/16
16528748,58940587,Entire home/apt,Westerpark,0,0,3,1,162,12/28/16
5927221,8008550,Entire home/apt,Oostelijk Havengebied / Indische Buurt,0,0,3,2,145,12/28/16
7163785,14785507,Entire home/apt,Oostelijk Havengebied / Indische Buurt,1,0,4,2,162,12/28/16
13989968,43911726,Entire home/apt,Ijburg / Eiland Zeeburg,3,5,4,2,150,12/28/16
15975686,67946404,Entire home/apt,Centrum West,2,0,4,2,145,12/28/16
4346605,22563568,Entire home/apt,De Aker / Nieuw Sloten,15,4.5,2,2,135,12/28/16
648862,3255777,Entire home/apt,De Baarsjes / Oud West,8,5,2,1,107,12/28/16
14292644,6143309,Entire home/apt,De Pijp / Rivierenbuurt,3,5,2,0,113,12/28/16
11174598,16456577,Entire home/apt,Oud Noord,5,4.5,4,2,117,12/28/16
3253682,16456577,Entire home/apt,Oud Noord,10,5,4,2,116,12/28/16
16122068,3909250,Entire home/apt,Osdorp,0,0,4,2,97,12/28/16
15368825,22652479,Entire home/apt,Bos en Lommer,0,0,2,0,91,12/28/16
